Date,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BGR,BHR,BIH,BLR,BRA,BRN,CAN,CHE,CHL,COL,CRI,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ESP,EST,FIN,FRA,GBR,GEO,GHA,GRC,GTM,HKG,HND,HRV,HUN,IDN,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KGZ,KHM,KOR,KWT,LBN,LIE,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MKD,MLT,MNE,MNG,MUS,MYS,NLD,NOR,NZL,OMN,OWID_WRL,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,SAU,SEN,SGP,SLV,SRB,SVK,SVN,SWE,SYR,THA,TTO,TUN,TUR,UKR,URY,USA,UZB,VNM,ZMB
2000,,41.32,,89.67,84.44,,80.32,54.59,,,,19.59,,90.59,86.31,,,,,76.88,73.75,86.17,,,,,73.83,,92.08,85.61,88.42,,,61.17,,91.97,,,,26.47,84.46,,87.19,55.99,,,,,,,,92.77,,,83.12,,63.29,66.42,,,,34.39,35.38,,,,,,93.78,80.86,87.41,,47.31,,,,69.47,65.38,,,,52.05,71.02,,,,,,,,83.29,,54.42,,,,,,76.94,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,53.97,85.66,81.23,,83.5,,17.13,,,24.83,,89.88,85.47,15.01,,,,83.43,78.4,84.59,,,,23.69,77.03,,93.24,83.37,82.24,,1.59,61.06,,89.6,,,75.32,21.86,83.19,19.9,85.0,,55.82,,,,,,,90.48,,26.95,87.73,,78.29,76.27,88.82,,,34.08,,,,,,,89.09,79.16,84.93,,47.86,,,,77.95,69.93,,18.71,,,69.78,,,92.85,,57.91,80.05,,82.73,7.23,46.04,,22.01,,,51.92,74.29,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,35.86,,87.03,80.0,89.46,82.66,46.72,,,,27.48,,89.21,86.47,,28.1,,,80.84,80.13,86.37,,,,,75.31,87.92,94.05,77.74,80.25,,,67.66,,90.47,,71.42,,34.24,83.58,,83.18,58.02,,,33.65,,,10.59,,91.14,,,86.82,77.05,77.21,79.3,89.06,,,43.5,,,39.95,,,,88.47,77.76,85.96,,48.41,,,,80.16,69.28,,,,47.26,73.37,,,,,57.4,79.13,82.34,81.69,,47.0,,27.53,,,53.89,71.86,,,
2007,,,63.49,,,,,,18.77,,,,,,,,,,,,,,,,,21.1,,,,,,,3.7,,,,,,69.27,,,19.7,,,53.66,,,,,,,,6.01,36.5,,,,,,,,,,,,31.17,,,,,,14.26,48.6,,,,,,,15.19,3.67,,,,,88.17,3.47,,,,,17.07,,,,32.87,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,36.45,,84.13,76.76,54.73,80.95,52.88,,,,30.88,,88.52,86.53,,29.55,43.31,,77.67,81.38,82.95,,,,,76.27,87.36,92.15,77.48,79.82,31.29,,69.68,,91.24,,66.85,,23.33,79.19,,83.05,60.55,,,34.73,,40.86,13.37,,91.87,,,90.51,73.67,76.08,77.44,89.04,,39.34,49.2,,,41.58,,49.84,40.67,86.58,81.82,84.59,,48.96,21.24,,,79.51,76.28,,,,52.98,71.43,,,,,59.42,78.97,79.65,78.92,,47.47,46.81,26.43,,,52.43,76.61,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,42.48,,49.02,,,,,,26.19,,,,,,,22.95,,,,,,,,,,,,,,,,,4.85,,,,,,65.45,,,25.53,,,63.78,,,,,,,,,37.73,,,,,,,,,,,,,,,,,,16.41,49.33,,,,,,,25.28,29.12,,,,,92.48,,,,,,17.28,,,,40.4,,,,,,
2012,,33.52,,80.33,81.35,,81.04,56.24,,,,32.91,,86.17,87.56,,26.18,40.13,57.97,79.04,82.26,83.16,,,,,76.39,89.46,87.73,77.65,78.19,,,64.31,,91.48,,70.13,,24.31,83.1,,78.52,66.5,,,31.44,,54.76,,,90.87,,,85.92,73.98,75.67,80.06,89.22,,,45.29,,,43.35,,,48.25,85.21,77.69,77.36,,49.51,,,,85.61,75.09,,,,59.18,76.05,,,,,61.09,72.54,79.91,72.93,,50.26,,32.25,,,44.22,74.15,,85.75,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,46.44,,50.41,78.03,78.25,,79.94,57.93,39.47,,,29.75,,85.64,84.22,27.89,33.71,37.5,57.41,78.31,82.81,86.43,9.45,19.04,,21.32,77.8,88.78,86.44,76.52,78.13,42.9,,64.24,,91.01,,67.96,66.86,31.35,85.02,34.15,76.38,67.87,62.36,,32.47,,,,,84.54,18.26,34.79,,74.59,74.18,78.57,93.35,,49.74,43.36,29.77,70.86,48.11,,,,83.27,82.92,78.37,23.38,50.06,,,,82.81,76.24,,,36.04,60.05,81.07,,,93.55,,,72.29,83.89,79.16,,46.22,47.75,25.19,42.39,,47.57,70.62,,80.9,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,29.07,,,,,,,,,,10.64,,15.44,,,,,,,,,,,,,,9.88,,,,,,,,,,,,,,,,,,,,,,50.43,,,,,,8.35,,,,,,7.71,,,,,,,,,,,,,,,,,2.3
2018,,31.03,,77.57,78.92,,80.34,55.59,,42.44,70.64,31.91,52.13,83.74,83.17,,34.61,40.0,63.14,79.61,78.9,85.43,9.44,,,,75.3,89.78,85.02,78.74,80.77,38.95,,64.16,,90.83,,68.84,,28.14,84.31,,79.31,65.9,,,40.67,,50.9,,,85.0,,,,74.36,72.78,82.68,95.0,24.37,49.67,43.75,38.96,69.75,53.84,,,58.5,84.25,81.13,78.22,,50.61,18.82,,19.28,85.28,76.72,,,,53.45,78.36,27.28,,,,60.25,74.91,83.57,81.19,,47.3,,,,64.08,49.29,72.89,,84.29,
2019,50.15,,,,,,,,55.25,,,,,,,32.51,,,,,,,,,,26.84,,,,,,,,,,,,,67.83,,,37.14,,,62.43,,,,,,,,21.18,26.79,,,,,,,,,,,,,,,,,,27.43,50.79,,,,,,,,36.73,,,,,91.82,,,,,,,,,,56.36,,,,,,
2022,51.0,27.07,,73.65,75.14,38.11,75.05,46.4,,,,26.62,58.11,78.37,80.55,44.29,28.79,28.16,46.9,74.48,70.5,79.55,7.56,,,,72.7,85.03,75.15,71.2,75.67,33.55,,52.79,13.08,86.16,,67.06,70.49,18.34,80.97,,65.88,62.75,70.4,26.17,17.15,88.04,50.42,,11.99,83.78,,,,72.16,,77.84,91.56,18.43,44.24,34.18,33.76,67.4,40.5,48.9,,41.02,72.65,68.5,71.25,,,16.14,33.84,15.96,77.0,70.29,14.54,20.06,43.51,51.44,,29.98,,91.98,10.65,56.94,66.79,75.41,72.78,,31.73,,,61.32,57.6,43.49,66.08,19.31,71.84,
